doc_name_clean,digital_index_combined
三亚,0.4793063522279042
上海,0.6235595846249158
东营,0.312199056148529
中山,0.4066886901855469
临沂,0.5202772914486655
丽水,0.3504760861396789
乌鲁木齐,0.3803844010053033
乐山,0.390039712190628
亳州,0.2588769158316431
六安,0.3680565953254699
六盘水,0.4365196505314471
内江,0.4019225239753723
凉山,0.3179930936430388
北京,0.5106169654557047
北海,0.3820913136005401
十堰,0.5678030248534016
南京,0.4074212643130644
南充,0.4236938736868579
南宁,0.5303317226034409
南通,0.3488279850055885
厦门,0.4802234686634525
台州,0.4569364550341447
合肥,0.5731425770684997
吉安,0.314125214990907
吉林,0.3980307281017303
呼和浩特,0.3380622874387998
咸宁,0.4223866217757124
哈尔滨,0.1969863345576831
嘉兴,0.4521051618161264
天津,0.3860985338687897
天门,0.4395249057288203
威海,0.5424019851449879
孝感,0.3405317990086471
宁波,0.5140688939486502
安顺,0.4492252469062805
宜宾,0.3949459071526887
宜昌,0.4137614071369171
宜春,0.3650628626346588
宣城,0.4418782323648703
宿州,0.4738556746208034
岳阳,0.4292982200031025
崇左,0.5013713958369564
巴中,0.4186417162418365
常州,0.2656342387199402
广元,0.3509779426574589
广安,0.4827396632294382
广州,0.6832228941780352
徐州,0.4898861594183574
德州,0.3871542513370514
德阳,0.5774358501983662
恩施,0.4291999287456863
成都,0.478175661329475
扬州,0.3663102960335526
承德,0.3126253708080743
抚州,0.6346242721411736
攀枝花,0.4158765971660614
无锡,0.4132335918126161
日照,0.4486381709575653
晋城,0.2882752418518066
来宾,0.4719380027520758
杭州,0.330582301312263
林芝,0.4870329201221466
枣庄,0.3083434104919433
柳州,0.6237058417518981
桂林,0.4846664203774957
梧州,0.4718337132151699
武汉,0.4539401698390715
毕节,0.4255324035640815
永州,0.3564646619252364
池州,0.0
沈阳,0.2389094627336564
河池,0.0251830630004405
泰安,0.5249456997855086
泰州,0.5322443209588528
泸州,0.3919546902179718
济南,0.3729153229370747
济宁,0.3738091300224808
淄博,0.4293308217904092
淮北,0.4187825923023199
淮南,0.4993152864372954
淮安,0.367609872282715
深圳,0.6583318275577724
温州,0.639814093470671
湖州,0.273165728433431
滁州,0.3792184889316559
滨州,0.4577662646770477
潍坊,0.4880810091189038
潜江,0.4557550562304325
烟台,0.6019056076892326
牡丹江,0.5251315811098765
玉林,0.2276885174319189
甘孜,0.4635898292444887
百色,0.4277516109479707
益阳,0.3517906963825226
盐城,0.3037655116503529
眉山,0.3972725570201874
绍兴,0.1983443768758065
绵阳,0.4864844779950009
聊城,0.5069942517994581
舟山,0.2966016232967376
芜湖,0.4972628074050593
苏州,0.4107879880497832
荆州,0.4948922420213166
荆门,0.409289538860321
菏泽,0.114808589220047
蚌埠,0.4255008128792906
衢州,0.3746404647827148
襄阳,0.4569364550341447
贵港,0.1528447866439819
贵阳,0.4569364550341447
贺州,0.4186615152791362
资阳,0.4558551508177735
赣州,0.3631660040737926
达州,0.3872002192660748
连云港,0.3160146851456549
遂宁,0.4938517687441277
遵义,0.4837740107876964
郴州,0.4583155096189177
鄂州,0.2462277263402938
重庆,0.5335103403887909
金华,0.3496236503124237
钦州,0.4321959760677797
铜仁,0.4939313710905363
铜陵,0.3878556489944458
银川,0.3892576410609558
锡林郭勒,0.3248472213745117
镇江,0.4575110552188872
长沙,0.4565200313973454
长治,0.4151717858848387
阜阳,0.5598318737106935
防城港,0.1828897797804793
阳泉,0.3902060985565185
阿坝,0.3978466643473514
随州,0.4035505354404449
雅安,0.3957243859767914
青岛,0.597802937297554
马鞍山,0.239000286582195
黄冈,0.4608266055583954
黄山,0.3303598463535309
黄石,0.5105598021604711
黔东南,0.1642615348100662
黔南,0.4122320690551082
黔西南,0.3337839543819427
