doc_name_clean,digital_index_combined
三亚,0.5276486099660176
上海,0.708281775720268
东营,0.417915940284729
中山,0.3637714982032776
临沂,0.475131451995922
丽水,0.3241677582263946
乌鲁木齐,0.3530683373628014
乐山,0.3441449701786041
亳州,0.1698472460699853
六安,0.334623783826828
六盘水,0.3681927898651721
内江,0.386197954416275
凉山,0.2785005759333067
北京,0.4719501210877238
北海,0.3574172854423523
十堰,0.5810916419874959
南京,0.4528647842629774
南充,0.5304381034804065
南宁,0.5259468175035721
南通,0.3555768401195716
厦门,0.4456594802162631
台州,0.495624846481212
合肥,0.5528812297746459
吉安,0.2615053852170041
吉林,0.3968243300914764
呼和浩特,0.3038297604212064
咸宁,0.3878547900343794
哈尔滨,0.3122267445279666
嘉兴,0.486360308796412
天津,0.3316141963005066
天门,0.4657929409022365
威海,0.6374621250394734
孝感,0.2937184302113449
宁波,0.4302694274579046
安顺,0.4112575948238373
宜宾,0.3840841527352693
宜昌,0.334542453289032
宜春,0.3508448302745819
宣城,0.3772811919500601
宿州,0.40979355609053
岳阳,0.3421007970218403
崇左,0.4299776377784085
巴中,0.4188019335269928
常州,0.2461202591657638
广元,0.2956996116161229
广安,0.5912401140789713
广州,0.6397461635929369
徐州,0.5369549639208446
德州,0.3413800299167633
德阳,0.5102265468193073
恩施,0.3758727557510726
成都,0.4037740740816264
扬州,0.3101667141663346
承德,0.3576554878429864
抚州,0.5802074368330986
攀枝花,0.3744907677173614
无锡,0.3794302480397279
日照,0.4466107487678528
晋城,0.26451376080513
来宾,0.4048136359918219
杭州,0.2282224923308444
林芝,0.4045897424221039
枣庄,0.2685692012310028
柳州,0.5806169585903533
桂林,0.3825175298821954
梧州,0.5112436188872433
武汉,0.4171753096858732
毕节,0.3247297137733558
永州,0.4252539354256789
池州,0.0659579485654831
沈阳,0.2590935624078813
河池,0.035170242190361
泰安,0.4689635869009871
泰州,0.6998698860406876
泸州,0.3458242118358612
济南,0.3401821358576451
济宁,0.3336445699429062
淄博,0.3674095828911782
淮北,0.3790465002117132
淮南,0.4822411187088713
淮安,0.4620160002124025
深圳,0.6045853060848415
温州,0.5481694189311049
湖州,0.1872674482896932
滁州,0.301015168428421
滨州,0.4482206702232361
潍坊,0.5000015506437909
潜江,0.3849465263766117
烟台,0.5448764498122642
牡丹江,0.5438140013636301
玉林,0.1668012030527037
甘孜,0.5109037280462922
百色,0.3462018174661439
益阳,0.303719699382782
盐城,0.3413869799559407
眉山,0.3789560496807098
绍兴,0.154971939517904
绵阳,0.4872762064915524
聊城,0.4325906081913648
舟山,0.2207527607679367
芜湖,0.491667689597671
苏州,0.3866746756861586
荆州,0.4235099876592103
荆门,0.3221578299999237
菏泽,0.3049816489219665
蚌埠,0.5248677161843444
衢州,0.3263154029846191
襄阳,0.495624846481212
贵港,0.0945265293121337
贵阳,0.495624846481212
贺州,0.3263465567067485
资阳,0.4193937677134492
赣州,0.28270378674286
达州,0.3713455923720776
连云港,0.3856624443447973
遂宁,0.4892304716230797
遵义,0.4039223238331981
郴州,0.3931020379678405
鄂州,0.2087227702140808
重庆,0.4344037603697936
金华,0.2130006253719329
钦州,0.347972407628296
铜仁,0.4406819523550321
铜陵,0.3201268315315246
银川,0.3238746687012985
锡林郭勒,0.3665337860584259
镇江,0.5076717314598083
长沙,0.4080066189217595
长治,0.5239737170276457
阜阳,0.4810660641747133
防城港,0.1168461793404539
阳泉,0.3166262507438659
阿坝,0.3936442090651401
随州,0.3427484333515167
雅安,0.3222724199295044
青岛,0.5457037391946029
马鞍山,0.1821298856765859
黄冈,0.499521791934967
黄山,0.2828882038593292
黄石,0.5085447777368719
黔东南,0.0829510912299156
黔南,0.3450387099185268
黔西南,0.2487125247716903
